,roundup,bulletin_url,bulletin_mps
142,"UK coronavirus (COVID-19) deaths similar to previous week
The number of deaths from all causes in the UK in the week ending 12 November 2021 was 13,780. This is 17.4% above the average for the corresponding week from 2015 to 2019. Deaths were above the five-year average in all UK countries. 
Of all deaths registered in the week ending 12 November, 1,197 involved coronavirus (COVID-19), which is three more deaths than the previous week. Deaths involving COVID-19 accounted for around 1 in 12 deaths (8.7%). UK total deaths include non-residents. 
The number of deaths from COVID-19 rose in England, compared with the previous week, and fell in Wales. 
Between 13 March 2020 and 12 November 2021, there have been 125,909 excess deaths above the five-year average in England and Wales; of these, 120,738 were in England, with 6,396 in Wales.
Our data are based on deaths registered in England and Wales and include all deaths where “novel coronavirus (COVID-19)” was mentioned on the death certificate. Weekly figures are available by local authority and health board. 
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/12november2021,"In the week ending 12 November 2021 (Week 45), 12,050 deaths were registered in England and Wales; this was 500 more deaths than the previous week (Week 44) and 16.6% above the five-year average (1,719 more deaths).
The number of deaths registered in England in the week ending 12 November 2021 (Week 45) was 11,305; this was 577 more than the previous week (Week 44) and 16.8% above the five-year average (1,630 more deaths).
The number of deaths registered in Wales in the week ending 12 November 2021 (Week 45) was 725; this was 72 fewer deaths than the previous week (Week 44) and 16.0% above the five-year average (100 more deaths).
Of the deaths registered in Week 45 in England and Wales, 1,020 mentioned “novel coronavirus (COVID-19)”, accounting for 8.5% of all deaths; this was an increase in the number of deaths compared with Week 44 (995 deaths, 8.6% of all deaths).
The number of deaths involving COVID-19 in England increased to 943 in Week 45, compared with 892 in Week 44; for Wales, deaths involving COVID-19 decreased to 75 in Week 45, compared with 98 in Week 44.
Using the most up-to-date data we have available, the number of deaths from the week ending 13 March 2020 to the week ending 12 November 2021 was 1,002,127 in England and Wales; of these, 939,390 were recorded in England, with 61,432 recorded in Wales. 
From the week ending 13 March 2020 to the week ending 12 November 2021, the number of excess deaths above the five-year average in England and Wales was 125,909; of these, 120,738 were recorded in England, with 6,396 recorded in Wales.
In Week 45 in England and Wales, the number of deaths was above the five-year average in private homes (38.0% above, 941 excess deaths), hospitals (13.8 % above, 654 excess deaths) and care homes (6.4% above, 148 excess deaths), but was below the five-year average in other settings (3.1% below, 26 fewer deaths).
The number of deaths registered in the UK in the week ending 12 November 2021 was 13,780, which was 2,047 more than the five-year average; of the deaths registered in the UK in Week 45, 1,197 involved COVID-19, which was 3 more than in Week 44.
"
143,"COVID-19 antibodies increased in those aged 70 years and over
In the week beginning 1 November 2021, the percentage of adults testing positive for coronavirus (COVID-19) antibodies remained high across all age groups and increased in those aged 70 years and over across the UK. This is likely as a result of the vaccination booster programme. 
An estimated 92.8% of the adult population of England, 91.4% in Wales, 93.3% in 
Northern Ireland and 92.5% in Scotland,  would have tested positive for COVID-19 antibodies in the week beginning 1 November 2021.    
The presence of antibodies suggests a person previously had COVID-19 or has been vaccinated.    
The survey does not include people in hospitals, care homes and/or other communal establishments. 
 - Read more in Coronavirus (COVID-19) Infection Survey: antibody and vaccination data, UK
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveyantibodyandvaccinationdatafortheuk/23november2021,"The following statistics are the percentage of the adult population that would have tested positive on a blood test for antibodies against SARS-CoV-2, the specific virus that causes coronavirus (COVID-19). This suggests that they have had the infection in the past or have been vaccinated.
In England, it is estimated that 92.8% of the adult population (95% credible interval: 91.6% to 93.9%) would have tested positive for antibodies against SARS-CoV-2 in the week beginning 1 November 2021.
In Wales, it is estimated that 91.4% of the adult population (95% credible interval: 89.7% to 92.9%) would have tested positive for antibodies against SARS-CoV-2 in the week beginning 1 November 2021.
In Northern Ireland, it is estimated that 93.3% of the adult population (95% credible interval: 90.2% to 94.9%) would have tested positive for antibodies against SARS-CoV-2 in the week beginning 1 November 2021.
In Scotland, it is estimated that 92.5% of the adult population (95% credible interval: 91.1% to 93.7%) would have tested positive for antibodies against SARS-CoV-2 in the week beginning 1 November 2021.
"
144,"COVID-19 mortality rate in England falls for first time since May
The age-standardised mortality rate (ASMR) for deaths due to coronavirus (COVID-19) in England fell significantly in October 2021; the first decrease since May 2021. 
In October 2021, there were 43,435 deaths registered in England, which is 2,883 deaths (7.1%) above the five-year average (between 2015 and 2019) for this month. 
There were 2,993 deaths registered in Wales, which is 2590 deaths (9.5%) more than the October five-year average. 
COVID-19 was the third leading cause of death in England (accounting for 5.6% of all deaths registered), and Wales (9.5% of all deaths). 
The ASMR for deaths due to COVID-19 decreased significantly to 50.8 deaths per 100,000 people in October 2021 (compared with 64.4 in September 2021), after adjusting for the size and age of the population. 
In Wales, the ASMR increased to 97.6 deaths per 100,000 people in October 2021 (compared with 89.6 in September 2021), but this increase was not statistically significant.
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/monthlymortalityanalysisenglandandwales/october2021,"In October 2021, there were 43,435 deaths registered in England, 2,883 deaths (7.1%) more than the October five-year average (2015 to 2019); there were 2,993 deaths registered in Wales, 259 deaths (9.5%) more than the October average.
The leading cause of death in October 2021 was dementia and Alzheimer's disease in England (accounting for 11.3% of all deaths) and ischaemic heart diseases in Wales (10.6% of all deaths).
Coronavirus (COVID-19) was the third leading cause of death in October 2021, in both England (accounting for 5.6% of all deaths) and Wales (accounting for 9.5% of all deaths).
Taking into account the population size and age structure, the age-standardised mortality rate (ASMR) for deaths due to COVID-19 in England decreased significantly to 50.8 deaths per 100,000 people, the first decrease since May 2021; the ASMR for deaths due to COVID-19 in Wales was 97.6 deaths per 100,000 people, this was higher than September 2021 but was not statistically significant.
Yorkshire and The Humber was the English region with the highest ASMR for deaths due to COVID-19 in October 2021 (72.4 deaths per 100,000 people).
In Quarter 3 (July to Sept), Diabetes was the most common pre-existing condition mentioned on death certificates for deaths due to COVID-19 (22.5% of all deaths due to COVID-19).
"
145,"Infections continue to fall in England and Wales
Coronavirus (COVID-19) infections continued to decrease in England and Wales in the week ending 13 November 2021. An estimated 824,900 people would have tested positive in England, and around 55,800 people in Wales. 
The percentage of people testing positive remained level in Scotland. In Northern Ireland, the trend was uncertain in the most recent week. 
The estimated percentage of people living in private households (not in hospitals, care homes and/or other communal establishments) that had COVID-19 in the most recent week was: 
 - 1.51% in England (1 in 65 people), compared with 1.70% (1 in 60 people) the week before
 - 1.84% in Wales (1 in 55 people), compared with 2.13% (1 in 45 people) the week before
 - 1.53% in Northern Ireland (1 in 65 people), compared with 1.35% (1 in 75 people) the week before
 - 1.06% in Scotland (1 in 95 people), compared with 1.18% (1 in 85 people) the week before
In England, the percentage of people testing positive has decreased in children and younger adults and remained level among older age groups. In Wales and Scotland, there were signs of a decrease in infections among those of secondary school age. In Northern Ireland, the positivity rate in secondary school ages appeared to increase.
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/19november2021,"In England, the percentage of people testing positive for coronavirus (COVID-19) continued to decrease in the week ending 13 November 2021; we estimate that 824,900 people in England had COVID-19 (95% credible interval: 775,500 to 873,700), equating to around 1 in 65 people.
In Wales, the percentage of people testing positive for COVID-19 continued to decrease in the week ending 13 November 2021; we estimate that 55,800 people in Wales had COVID-19 (95% credible interval: 44,800 to 68,100), equating to around 1 in 55 people.
In Northern Ireland, the trend in the percentage of people testing positive for COVID-19 was uncertain in the week ending 13 November 2021; we estimate that 28,100 people in Northern Ireland had COVID-19 (95% credible interval: 21,300 to 35,900), equating to around 1 in 65 people.
In Scotland, the percentage of people testing positive for COVID-19 remained level in the week ending 13 November 2021; we estimate that 56,000 people in Scotland had COVID-19 (95% credible interval: 45,500 to 68,100) equating to around 1 in 95 people.
"
146,"Most adults reported wearing a face covering
Most adults (85%) in Great Britain (GB) reported they wore a face covering when outside their home over the past seven days. This proportion appeared to increase with age; 71% of those aged 16 to 29 years reported wearing a face covering compared to 96% of those aged 70 years and above.
While most adults (70%) reported wearing a face covering while travelling on public transport, just 24% said that everyone or almost everyone else was doing the same.
Around 1 in 20 (6%) of adults had been asked to show proof of coronavirus (COVID-19) vaccination or a recent negative coronavirus test in the past seven days (excluding for travel abroad). The most common reason was to attend a theatre or comedy performance (20%), a nightclub or bar (18%) or a sporting event (17%).
Around 6 in 10 (62%) of adults reported their cost of living has increased over the last month. An increase in the price of food was the most common reason, cited by 86% of those whose living costs had gone up. An increase in gas or electricity bills (78%) and an increase in the price of fuel (76%) were also commonly cited. 
It should be noted that there are strong seasonal spending patterns relating to gas and electricity that may affect these results. Consumer price statistics for October show that electricity and gas prices increased by 8.7% and 17.1% respectively on the month, resulting in 12-month inflation rates of 18.8% for electricity and 28.1% for gas.
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/bulletins/coronavirusandthesocialimpactsongreatbritain/19november2021,"Throughout the period of 3 to 14 November 2021, based on adults in Great Britain:
Over 8 in 10 (85%) adults reported they wore a face covering when outside their home in the past seven days, while around 4 in 10 (41%) reported they always or often maintained social distancing when outside their home.
While most adults reported wearing a face covering often or always while shopping (70%) and the whole time while travelling on public transport (70%) in the past seven days, just 18% and 24% said that everyone or almost everyone was wearing a face covering in the same respective settings.
Around 1 in 20 (6%) adults had been asked to show proof of coronavirus (COVID-19) vaccination or a recent negative COVID-19 test in the past seven days (excluding for travel abroad), most commonly to attend a theatre or comedy performance (20%), a nightclub or bar (18%), a sporting event (17%) or a work or training event (16%).
The majority (90%) of adults who have received two doses of a COVID-19 vaccine said they would be very likely or fairly likely to have a booster vaccine if offered to them.
Around 4 in 10 (41%) adults reported experiencing goods shortages in the past two weeks, with almost 1 in 5 (18%) of all adults unable to buy essential food and around 1 in 10 (9%) of all adults unable to buy fuel because they were not available.
Around 6 in 10 (62%) adults reported their cost of living has increased over the last month, with the most common reasons reported being an increase in the price of food shopping (86%), an increase in gas or electricity bills (78%) and an increase in the price of fuel (76%). 
It should be noted that there are strong seasonal spending patterns relating to gas and electricity that may affect these results. Consumer price statistics for October show that electricity and gas prices increased by 8.7% and 17.1% respectively on the month, resulting in 12-month inflation rates of 18.8% for electricity and 28.1% for gas.
"
147,"UK excess mortality in 2021 peaked in January, but has steadily increased since the Spring
Almost all European countries (including the UK) had lower peak excess mortality in the first half of 2021 compared with 2020, except for Portugal, Estonia, and Hungary. 
Excess mortality in the UK in 2021 peaked in January, before dropping to negative values (lower mortality compared to the five-year average) for all UK countries by the week ending 5 March 2021. 
Since then, excess mortality has steadily increased for all UK countries, and by the week ending 3 September 2021 ranged from -4.3% for England to 20.8% for Northern Ireland. 
The chart shows provisional relative age-standardised mortality rates (rASMRs) for the UK, constituent countries of the UK and 11 European countries with the highest peak in excess mortality (rASMRs) in the first half of 2021. 

For the UK countries, non-residents are excluded for figures from England, Scotland and Wales but are included for Northern Ireland. However, the numbers of non-residents included are very small.
Information about whether non-residents are included for countries outside the UK is not provided by Eurostat.
UK data are based on date of registration rather than date of death. Most other European countries are based on date of death.
Relative age-standardised mortality rates (rASMRs) are expressed as the percentage change per week in 2020 or 2021 from the average expected age-standardised mortality rate in 2015 to 2019

Compared to 2020, throughout much of 2021, relative excess mortality in the UK, Czechia and Hungary was higher for younger (0 to 64 years) than for older (65 years and over). 
During the pandemic, spikes in excess mortality have been generally characterised by higher peaks for all ages than for age 0 to 64 years. This is because COVID-19 disproportionately affects people in older age groups. However, this trend has become less clear for some countries in the first half of 2021, most noticeably for the UK nations, Czechia and Hungary. 
Compared to all ages, those aged up to 64 in these countries saw worse mortality rates relative to the average in some or all weeks. This suggests that COVID-19 disproportionately impacted mortality rates for younger compared to older age groups in these countries in the first half of 2021. 
Most Nordic countries have had relatively low peak excess mortality in both 2020 and in the first half of 2021, compared to most other countries. 
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/comparisonsofallcausemortalitybetweeneuropeancountriesandregions/datauptoweekending3september2021,"The UK has seen a gradual but sustained increase in relative excess mortality since spring 2021, after an initial drop from the very high excess mortality in winter 2020 to 21.
For much of the first half of 2021, relative excess mortality in the UK was higher for younger people (aged 0 to 64 years) than for older people; this differed from most countries except Slovakia, Hungary and Czechia. 
In 2021 countries in central Europe such as Poland, Bulgaria and Czechia increasingly overtook western Europe (including the UK) to have the highest relative cumulative excess mortality since the start of the pandemic by mid-2021, while the UK was similar to Spain and Portugal.
The Nordic countries, with the exception of Sweden, have consistently had lower than average levels of cumulative excess mortality since the start of 2020, despite the coronavirus (COVID-19) pandemic.
"
148,"Most vaccinated take test after COVID-19 contact
The majority (91%) of double vaccinated people who had come into contact with a positive case reported that they had taken a coronavirus (COVID-19) test (lateral flow or PCR) since being contacted by NHS Test and Trace or via the app. 
Data collected from 25 to 30 October 2021 show that a minority (13%) of those who took a test, reported testing positive for COVID-19.
The majority (84%) of respondents reported that double vaccinated contacts should take a PCR test after coming into contact with someone who has tested positive for COVID-19 , in line with current government advice.
Around 2 in 3 (63%) respondents reported taking additional measures to keep themselves and others safe beyond government guidelines and recommendations.
Respondents estimated that 65% of the population of England would follow self-isolation guidance if they tested positive, compared with 92% of their own friends and family.
 - Read more about Coronavirus and behaviour of the vaccinated population after being in contact with a positive case in England
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/bulletins/coronavirusandbehaviourofthevaccinatedpopulationafterbeingincontactwithapositivecaseinengland/25to30october2021,"The COVID Test and Trace Contacts Behavioural Insights Study was compiled in response to policy questions about the behaviour of contacts of a positive coronavirus (COVID-19) case, who were not required to self-isolate because of being fully vaccinated; this is the first bulletin of the series.
Data collected from 25 to 30 October 2021 show that the majority (91%) of respondents reported that they had taken a COVID-19 test (lateral flow or PCR) since being contacted by NHS Test and Trace or via the app.
Of those who reported taking a test, a minority (13%) reported testing positive for COVID-19.
Of those who received two doses of the vaccine, 82% did not develop symptoms, compared with 96% of those who had received two doses and the booster dose; this was a statistically significant difference.
The majority (84%) of respondents said that double vaccinated contacts should take a PCR test after having been in contact with someone who has tested positive for COVID-19.
Around 2 in 3 (63%) respondents reported taking additional measures to keep themselves and others safe beyond government guidelines and recommendations.
Respondents estimated that 65% of the population of England would follow self-isolation guidance if they tested positive, compared with 92% of their own friends and family.
"
149,"UK average daily flights at lowest level equivalent to 2019 when compared with Spain, Germany and France
UK average daily flights were at the lowest level relative to the equivalent day in 2019 at 64% when compared with Spain, France and Germany.
According to data from EUROCONTROL, in the latest week Spain saw average daily flights at 81% of the level seen in the same week in 2019, while France and Germany saw 77% and 73% respectively. 
The average daily flights compared with the level seen on the equivalent day of 2019 of Spain, the UK, France, and Germany fell by 95, 90, 89 and 82 percentage points, respectively, from 1 March to 1 May 2020.
Compared with 2020, the average number of UK daily flights in the latest week was 190%. From 1 September to 14 November 2021, the seven-day average decreased by 8%, whereas in 2019’s equivalent period, the seven-day average decreased by 23%. 
",https://www.ons.gov.uk/economy/economicoutputandproductivity/output/bulletins/economicactivityandsocialchangeintheukrealtimeindicators/18november2021,"Shelf availability of items between 12 and 15 November 2021 was lowest for ""crisps (multipack)"", with 29% of this item's availability marked as ""none"" or ""low""; shelf availability was highest for the ""beer"" category, as 71% of this item was recorded as having ""high"" availability (Kantar Public). Section 3.
In the week to 14 November 2021, the UK had the lowest average daily flights relative to the level seen on the equivalent day of 2019 (64%) when compared with Spain (81%), France (77%) and Germany (73%) (EUROCONTROL). Section 4.
The preceding seven-day rolling average gas price increased by 4% in the week to 14 November 2021 and is over three times higher than the start of the year, despite this, it is 23% lower than five weeks ago (week ending 10 October 2021) (National Grid). Section 5.
The total volume of online job adverts on 12 November 2021 decreased by 2% to 144% of its February 2020 average level; the highest level of job adverts relative to February 2020 continues to be in the ""transport, logistics and warehouse"" category, at 393% (Adzuna). Section 6.
In the week to 11 November 2021, the aggregate CHAPS-based indicator of credit and debit card purchases decreased by 4 percentage points from the previous week, to 101% of its February 2020 average (Bank of England CHAPS data). Section 7.
Overall retail footfall in the UK rose slightly by 1% in the week to 13 November 2021 and was 85% of the level seen in the equivalent week of 2019 (Springboard). Section 8.
Transactions at Pret A Manger stores in the week ending 11 November 2021 remained lowest in London city stores, at 88% of the January 2020 average level (Pret A Manger). Section 9.
There was an average of 285 daily ship visits in the week to 14 November 2021, an 8% increase from the previous week; the average number of daily cargo and tanker ship visits was 95, which was a 10% increase from the previous week, and the largest weekly increase since 15 August 2021 (exactEarth). Section 10.
The volume of motor vehicle traffic on Monday 15 November 2021 was at 96% of its level in the first week of February 2020, broadly unchanged for the fourth consecutive week (Department for Transport). Section 11.
In the week ending 14 November 2021, the seasonally adjusted average count of traffic camera activity for cars in London and the North East remained broadly similar to the previous week, at 112% and 107% of the average level in the week before the first UK-wide lockdown, respectively (Transport for London; North East Traffic Cameras). See the accompanying dataset.
Three-quarters (75%) of businesses currently trading and who had imported in the last 12 months experienced a challenge importing in late October to early November 2021; this was up from 60% in late September 2021, a change in reference period for the question may have impacted the responses. Business insights and impact on the UK economy: 18 November 2021.
Of the 96% of adults in Great Britain who reported leaving home in the past seven days, the proportion that did so and reported wearing a face covering increased slightly by 2 percentage points from the previous period to 85% (Opinions and Lifestyle Survey, 3 to 14 November 2021). Section 12.
There were 15,290 company incorporations in the week to 12 November 2021, an increase of 4% from the previous week and an increase of 28% from the equivalent week of 2019 (11,992) (Companies House). See the accompanying dataset.
There were 5,560 voluntary dissolution applications (an application from a company to dissolve) in the week to 12 November 2021, a decrease of 5% from the previous week and a decrease of 34% from the equivalent week of 2019 (8,400) (Companies House). See the accompanying dataset.
In the week to 9 November 2021, the four-week rolling average of compulsory dissolution first gazettes (a notice issued by Companies House indicating their intention to remove a company from the register) was 11,343, broadly unchanged from the previous week (11,292) (Companies House). See the accompanying dataset.
The seven-day average estimate of UK seated diners in the week to 15 November 2021 was 117% of the level in the equivalent week of 2019 (OpenTable).
"
150,"Booster jab recipients less likely to test positive for COVID-19
People who have received a COVID-19 booster jab were “less likely” to test positive for the virus than those who received their second dose of Astra Zeneca or Pfizer more than 90 days ago, in the fortnight ending 6 November 2021.
During the same time period, those who had received at least one dose of the COVID-19 vaccine also continued to be “less likely” to test positive for COVID-19 than those who were unvaccinated.
The data also revealed that adults living with someone aged 16 or under were more likely to test positive, and people aged under 70 who lived with someone age 70 or older were less likely to test positive, compared to those not living with people of these age groups.
People who live in a household where someone had contact with a hospital or care home were less likely to test positive, in comparison to households where no-one had contact. Meanwhile, people who spend more time socialising outside the home were more likely to test positive for COVID-19.

An odds ratio indicates the likelihood of an individual testing positive for COVID-19 given a particular characteristic/variable.

The core demographic variables (as explained in the Coronavirus (COVID-19) Infection Survey technical article: analysis of populations in the UK by risk of testing positive for COVID-19, September 2021) are included to adjust for these factors.
 - Read more in Coronavirus (COVID-19) Infection Survey characteristics of people testing positive for COVID-19, UK: 3 November 2021
",https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveycharacteristicsofpeopletestingpositiveforcovid19uk/17november2021,"Those who have received at least one dose of a coronavirus (COVID-19) vaccine continued to be less likely to test positive for COVID-19 than those not vaccinated; people who received a booster were even less likely to test positive than those who had a second dose of Astra Zeneca or Pfizer more than 90 days ago in the fortnight ending 6 November 2021.
Those living in a household of two or more people continued to be more likely to test positive than those living in single occupancy households in the fortnight ending 6 November 2021.
Adults who lived with someone aged 16 years or under were more likely to test positive, and people aged under 70 years who lived with someone aged 70 years or over were less likely to test positive, in comparison to those not living with people of these ages in the fortnight ending 6 November 2021.
People working in the education industry sector continued to be more likely to test positive in comparison to those working in other sectors in the fortnight ending 6 November 2021; the higher risk is likely related to the recent high infection levels among school aged children.
Those who spent more time socialising outside the home were more likely to test positive for COVID-19 in the fortnight ending 6 November 2021.
The number of socially distanced and physical contacts that adults and school-age children reported with people outside their household has continued to increase across the UK since March 2021, although school age children had fewer contacts during the school holidays.
"
151,"Coronavirus (COVID-19) deaths rise in all UK countries 
The number of deaths from all causes in the UK in the week ending 5 November 2021 was 13,209, 17.2% above the average for the corresponding week in 2015 to 2019. Deaths were above the five-year average in all UK countries. 
Of all deaths registered in the week ending 5 November, 1,194 involved coronavirus (COVID-19), 150 more than the previous week (a 14.4% increase). Deaths involving COVID-19 accounted for around 1 in 11 deaths (9.0%). 
UK total deaths include non-residents. 
Northern Ireland had the highest proportion of deaths involving COVID-19 at 15.9% (59 deaths), followed by Wales at 12.3% (98 deaths), Scotland at 10.9% (140 deaths) and England at 7.6% (892 deaths). 
Using the most up-to-date data, the total number of deaths involving COVID-19 in England and Wales is 152,650 (registrations up to 5 November 2021). Between 13 March 2020 and 5 November 2021, there have been 124,193 excess deaths above the five-year average. 
Our data are based on deaths registered in England and Wales and include all deaths where “novel coronavirus (COVID-19)” was mentioned on the death certificate. Weekly figures are available by local authority and health board. 
",https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/5november2021,"In the week ending 5 November 2021 (Week 44), 11,550 deaths were registered in England and Wales; this was 563 more deaths than the previous week (Week 43) and 16.8% above the five-year average (1,659 more deaths).
The number of deaths registered in England in the week ending 5 November 2021 (Week 44) was 10,728; this was 456 more than the previous week (Week 43) and 16.0% above the five-year average (1,480 more deaths).
The number of deaths registered in Wales in the week ending 5 November 2021 (Week 44) was 797; this was 96 more deaths than the previous week (Week 43) and 29.4% above the five-year average (181 more deaths).
Of the deaths registered in Week 44 in England and Wales, 995 mentioned “novel coronavirus (COVID-19)”, accounting for 8.6% of all deaths; this was an increase compared with Week 43 (859 deaths, 7.8% of all deaths).
The number of deaths involving COVID-19 in England increased to 892 in Week 44, compared with 777 in Week 43; for Wales, deaths involving COVID-19 increased to 98 in Week 44, compared with 81 in Week 43.
The number of deaths involving COVID-19 was the highest in England since Week 11 (week ending 19 March 2021) and in Wales since Week 9 (week ending 5 March 2021).
The number of deaths registered in the UK in the week ending 5 November 2021 was 13,209, which was 1,943 more than the five-year average; of the deaths registered in the UK in Week 44, 1,194 involved COVID-19, which was 150 more than in Week 43.
"
