,page,section,date,roundup,bulletin_url,bulletin_mps
10,https://web.archive.org/web/20210716111230/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['16 July 2021'],"['Infections have increased in England and Scotland', 'Coronavirus (COVID-19) cases increased in England and Scotland in the week ending 10 July 2021. The estimated percentage of the community population (those not in hospitals, care homes or other institutional settings) that had COVID-19 was:', ' - 1.06% (1 in 95 people) in England, up from 0.61% (1 in 160 people) last week', ' - 0.28% (1 in 360 people) in Wales, compared to to 0.30% (1 in 340 people) last week', ' - 0.34% (1 in 290 people) in Northern Ireland, compared to 0.33% (1 in 300 people) last week', ' - 1.14% (1 in 90 people) in Scotland, up from 1.01% in Scotland (1 in 100 people) last week', 'Across England, the percentage of people testing positive continued to increase in all age groups in the week ending 10 July 2021, but is highest in teenagers and young adults.']","[{'text': 'Read the latest Coronavirus (COVID-19) Infection Survey bulletin', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/latest'}]",placeholder
11,https://web.archive.org/web/20210716111230/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,2.0,['16 July 2021'],"['Two-thirds of adults still plan to wear masks in shops', 'Two-thirds (64%) of adults in Great Britain said they still plan to cover their faces in shops, following the lifting of most coronavirus (COVID-19) legal restrictions in England from 19 July 2021.', 'The same percentage (64%) plan to wear masks on public transport, while 60% plan to avoid crowded places.', 'In our latest weekly release from the Opinions and Lifestyle Survey, a large majority of adults continued to feel that wearing face coverings (90%) and social distancing from others not in their household, childcare or support bubble are important (88%) in slowing the spread of COVID-19.', 'Over half (57%) of adults in Great Britain, surveyed between 7 and 11 July 2021, said they were worried about the plan to remove legal restrictions. This includes one-fifth (20%) who were very worried.', 'Other findings in the latest week include a gradual increase in anxiety levels since early June while the proportion of people who always or often maintain social distancing has continued to fall.']","[{'text': ""Read our article in people's plans following the lifting of restrictions"", 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/articles/twothirdsofadultsstillplantowearmasksinshopsandonpublictransport/2021-07-16'}]",placeholder
12,https://web.archive.org/web/20210716111230/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,3.0,['16 July 2021'],"['Vast majority self-isolate after coronavirus (COVID-19) contact', 'Almost 9 in 10 (89%) of those who had contact with a positive coronavirus (COVID-19) case fully adhered to self-isolation requirements throughout the entire isolation period, according to data collected between 28 June and 3 July 2021.', 'This figure is slightly higher than the 87% who reported full adherence during the previous survey (1 to 5 June 2021) but statistically significantly lower than the 93% between 4 and 8 May 2021.', 'Of those who did not adhere, 79% left their house at least once for a non-permitted reason, and 27% had one or more visitors to their home (excluding visits for personal care).', 'Most (91%) of those required to self-isolate following contact with a positive case of COVID-19 reported having no contact with non-household members. This figure is similar to the 93% who reported no contact from 1 to 5 June 2021.', 'Over a third (37%) reported that self-isolation had a negative effect on their well-being and mental health, and 28% reported having lost income because of self-isolation.']","[{'text': 'Read the latest bulletin on coronavirus and self-isolation after contact with a positive case in England', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronavirusandselfisolationafterbeingincontactwithapositivecaseinengland/latest'}]",placeholder
13,https://web.archive.org/web/20210716111230/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,6.0,['13 July 2021'],"['Deaths from COVID-19 increased slightly in England and Wales', 'The number of deaths from all causes in England and Wales in the week ending 2 July 2021 was 8,808, which is 5.2% below the average for the corresponding week in 2015 to 2019.', 'Of these, 109 deaths were registered involving coronavirus (COVID-19), accounting for around one in 81 deaths (1.2%). This is a higher proportion than in the previous week, where deaths involving COVID-19 accounted for around 1 in 120 deaths.', 'Deaths include non-residents.', 'The proportion of deaths involving COVID-19 has been highest in those aged 75 years and over throughout the pandemic, however, this proportion has been lower since the start of January 2021. This likely reflects the impact of vaccinations.', 'Using the most up-to-date data, the total number of deaths involving COVID-19 in England and Wales is over 140,000 (140,699 registrations up to 2 July 2021).', 'Our data are based on deaths registered in England and Wales and include all deaths where “novel coronavirus (COVID-19)” was mentioned on the death certificate. Weekly figures are available by\u202f local authority and health board.']","[{'text': 'Read the latest bulletin on coronavirus and clinically extremely vulnerable people in England', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/latest'}]",placeholder
14,https://web.archive.org/web/20210719170547/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['19 July 2021'],"['Hospitality saw signs of recovery in spring 2021, but business confidence still remains low', 'In May 2020, turnover fell to £1.2 billion but has since recovered to £6.9 billion in May 2021. This is still behind the May 2019 value of £9.2 billion.', 'Consumer spending data by Revolut show that in spring 2021, spending in the hospitality sector reached its highest level since summer 2020. However, data from Vocalink show that increased consumer spending has not yet fed through to suppliers. The total value of payments from food and drink businesses to their suppliers and contractors in May 2021 was only 51% of the values in February 2020.', 'Trends in the labour market reflect those of industry turnover. Since early April 2021, the number of people on furlough has been declining and fell to its lowest level of 0.6 million in late May 2021. There have also been increases in the number of payrolled employees and average hours worked, although these remain below pre-pandemic levels.', 'Despite signs of recovery in the hospitality industry, business confidence remains low. All hospitality sub-sectors report lower levels of confidence that their business will survive the next three months, compared with the all-industry average.']","[{'text': 'Read the latest bulletin on coronavirus and its impact on UK hospitality', 'link': 'https://www.ons.gov.uk/releases/coronavirusanditsimpactonukhospitalityjanuary2020tojune2021'}]",placeholder
15,https://web.archive.org/web/20210720134216/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['20 July 2021'],"['Deaths from COVID-19 increase in Great Britain', 'The number of deaths from all causes in Great Britain in the week ending 9 July 2021 was 10,834, which is 6.2% above the average for the corresponding week in 2015 to 2019.', 'Of these, 213 deaths were registered involving coronavirus (COVID-19), accounting for around 1 in 51 deaths (2.0%).', 'The number of deaths involving coronavirus (COVID-19) increased in all English regions and Scotland in the week ending 9 July. The largest increase was reported in the North West (25 more deaths).', 'In Wales, deaths involving COVID-19 remained level compared with the previous week.', 'Deaths include non-residents.', 'Using the most up-to-date data, the total number of deaths involving COVID-19 in England and Wales is over 140,000 (140,906 registrations up to 9 July 2021). Between 13 March 2020 and 9 July 2021, there have been 103,616 excess deaths above the five-year average.', 'Our data are based on deaths registered in England and Wales and include all deaths where “novel coronavirus (COVID-19)” was mentioned on the death certificate. Weekly figures are available by\u202flocal authority and health board.']","[{'text': 'Latest bulletin on deaths registered in England and Wales', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/latest%22%20HYPERLINK%20%22https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/deathsregisteredweeklyinenglandandwalesprovisional/latest'}]",placeholder
16,https://web.archive.org/web/20210722185258/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['22 July 2021'],"['Online job adverts 30% higher than February 2020 average', 'The volume of online job adverts on 16 July 2021 had increased across all UK countries and English regions from the previous week, bringing the total UK volume to 130% of its February 2020 average.', 'This is 7 percentage points higher than the volume of online job adverts seen in the equivalent week of 2019, and is considerably higher than the volume seen in the same week of 2020, according to data from Adzuna.', 'Notes:', 'Just three of 28 job advert categories were below their February 2020 average levels in the latest week. These were ""energy, oil and gas"", ""legal"" and ""graduate"", at 87%, 95% and 99% of their February 2020 average levels, respectively.', 'The highest performing category relative to its pre-pandemic level remained the ""transport/logistics/warehouse"" category, at 302% of its February 2020 average level. This is a 153% increase since 8 January 2021 and is substantially higher than the number of adverts seen for this category in the equivalent weeks of 2019 and 2020.']","[{'text': 'Read the latest bulletin on economic activity and social change in the UK', 'link': 'https://www.ons.gov.uk/releases/economicactivityandsocialchangeintheukrealtimeindicators22july2021'}]",placeholder
17,https://web.archive.org/web/20210722185258/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,2.0,['22 July 2021'],"['Coronavirus lockdown shows marked effect on crimes', 'Fraud and computer misuse offences have increased in England and Wales by 36% since the first coronavirus (COVID-19) lockdown from April to June 2020.', 'Crime figures for the year ending March 2021, showed this increase in comparison with the year ending March 2019 (Crime Survey for England and Wales (CSEW)). This also accompanied a 20% decrease in theft offences.', 'While people were being told to stay at home during the first lockdown, acquisitive crimes such as burglaries declined, because criminals were unable to take advantage of homes being empty at predictable times, for example, for work.', 'Police recorded crime also showed a decrease in these types of offences and in crime overall (13%), excluding fraud and computer misuse. The first three months of the first national lockdown, from April to June 2020, showed the largest drop in recorded crimes, 19% compared with the same period in 2019.', 'Police recorded crime also captured a decline in the number of violent offences in the year ending March 2020, with a 16% decline in murders, 14% fall in firearms offences and a 15% drop in knife crime.', 'Total recorded crime, excluding fraud\u202fand computer misuse, has fluctuated\u202facross\u202fthe year ending\u202fMarch\u202f2021.\u202fOverall, there was a 10% decrease on the previous year.', 'Most of the differences\u202fcan be attributed to\u202fthe\u202fintroduction and subsequent easing of national lockdown restrictions\u202fthroughout the year.', 'The most substantial drop in crime came in April 2020, compared with April 2019, and remained lower across subsequent months in comparison with the same time periods in 2019. This coincided with the introduction of the first national lockdown.', 'The difference narrowed in tandem with the easing of lockdown restrictions over the summer of 2020 and widened again as restrictions were reintroduced.']","[{'text': 'Read the latest bulletin on crime in England and Wales', 'link': 'https://www.ons.gov.uk/releases/crimeinenglandandwalesyearendingmarch2021'}]",placeholder
18,https://web.archive.org/web/20210722185258/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,3.0,['21 July 2021'],"['COVID-19 antibodies continue to rise in line with vaccinations', 'An estimated 91.9% of the adult population in England, 92.6% in Wales, 90.0% in Northern Ireland and 88.6% in Scotland would have tested positive for COVID-19 antibodies in the week beginning 28 June 2021.', 'During the same week, estimated vaccination rates continued to increase in all four UK countries.', 'The presence of antibodies suggests a person previously had COVID-19 or has been vaccinated.', 'Antibody positivity increases with age, reflecting age prioritisation in vaccination programmes. Estimated vaccination rates are lowest in younger age groups but are increasing, with the percentage of adults aged 25 to 34 years who have received one or more doses increasing sharply since the end of May.', 'Because of small sample sizes, some age groups are combined in Northern Ireland.', 'These statistics refer to antibody tests and vaccinations among people living in private households, and exclude those in hospitals, care homes and other institutional settings.', 'Our estimates of vaccination are provided for context alongside our antibodies estimates. The daily official government figures provide the actual numbers of vaccines issued.']","[{'text': 'Latest bulletin on antibody and vaccination data in the UK', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveyantibodyandvaccinationdatafortheuk/latest'}]",placeholder
19,https://web.archive.org/web/20210722185258/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,4.0,['21 July 2021'],"['Long COVID most often impacted general well-being', 'Around 6 in 10 (57%) adults who said they may have experienced long COVID (“yes” or “not sure” to the question ‘Have you experienced “long COVID”?’) said it had negatively affected their general well-being.', 'Around 4 in 10 (39%) of such adults said their ability to exercise had been affected, while 3 in 10 (30%) said it had negatively impacted their work, with this rising to around 4 in 10 (38%) among working adults who said they may have experienced long COVID.', 'These findings are from the Opinions and Lifestyle Survey, covering the period 7 April to 13 June 2021.', 'Of adults who said they may have experienced long COVID, a quarter (25%) were likely to have some form of anxiety compared with 15% of those who reported they had not had COVID-19 at all. Three in ten adults (30%) who said they may have experienced long COVID reported experiencing moderate to severe depressive symptoms in the last two weeks compared with 16% of those who have not had COVID at all.', 'Those who reported they may have experienced long COVID were also more likely to report being often or always lonely (10%) than those who reported that they had short COVID (6%) or had not had COVID at all (6%).', 'This does not necessarily mean that experiencing long COVID itself increases the likelihood of either depression, anxiety or loneliness. More work is needed to disentangle the effects of long COVID from a variety of factors such as age, sex or disability.']","[{'text': 'Read the bulletin on the social impacts of long covid', 'link': 'https://www.ons.gov.uk/releases/coronavirusandthesocialimpactsoflongcovidonpeopleslivesingreatbritain7aprilto13june2021'}]",placeholder
20,https://web.archive.org/web/20210722185258/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,7.0,['16 July 2021'],"['Infections have increased in England and Scotland', 'Coronavirus (COVID-19) cases increased in England and Scotland in the week ending 10 July 2021. The estimated percentage of the community population (those not in hospitals, care homes or other institutional settings) that had COVID-19 was:', ' - 1.06% (1 in 95 people) in England, up from 0.61% (1 in 160 people) last week', ' - 0.28% (1 in 360 people) in Wales, compared to 0.30% (1 in 340 people) last week', ' - 0.34% (1 in 290 people) in Northern Ireland, compared to 0.33% (1 in 300 people) last week', ' - 1.14% (1 in 90 people) in Scotland, up from 1.01% (1 in 100 people) last week', 'Across England, the percentage of people testing positive continued to increase in all age groups in the week ending 10 July 2021, but is highest in teenagers and young adults.']","[{'text': 'Read the latest Coronavirus (COVID-19) Infection Survey bulletin', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/latest'}]",placeholder
21,https://web.archive.org/web/20210725054454/https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/articles/coronaviruscovid19/latestinsights,1.0,['23 July 2021'],"['Infections have increased in England, Wales and Northern Ireland', 'Coronavirus (COVID-19) cases continued to increase in England and have increased in Wales and Northern Ireland in the week ending 17 July 2021, while in Scotland the trend is uncertain in the most recent week.', 'The estimated percentage of the community population (those not in hospitals, care homes or other institutional settings) that had COVID-19 was:', ' - 1.36% (1 in 75 people) in England, up from 1.06% (1 in 95 people) last week', ' - 0.47% (1 in 210 people) in Wales, up from 0.28% (1 in 360 people) last week', ' - 0.59% (1 in 170 people) in Northern Ireland, up from 0.34% (1 in 290 people) last week', ' - 1.24% (1 in 80 people) in Scotland, compared with 1.14% (1 in 90 people) last week', 'Across England, the percentage of people testing positive continued to increase in all age groups in the week ending 17 July 2021, except for those in school Year 7 to school Year 11 where the trend is uncertain.', 'Infections have also continued to increase in all English regions in the most recent week, except for the North East and North West, where the trends are uncertain.']","[{'text': 'Read the latest Coronavirus (COVID-19) Infection Survey bulletin', 'link': 'https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/conditionsanddiseases/bulletins/coronaviruscovid19infectionsurveypilot/latest'}]",placeholder
